,price=5,price=6,price=7,price=8,price=9,price=10,price=11,price=12,price=13,price=14
"s(5,5)",311.40925978988537,282.13175999086076,325.17378951873,311.7970230257656,707.7982994385465,277.16176634784154,332.24893838216803,397.02888950574504,233.75240382770323,225.97442901422022
"s(5,6)",509.22887137847067,436.51703043632165,720.9737618898574,559.0290086717288,504.3816490717939,484.742080349448,415.9531784328708,440.5750549753412,468.43698025727474,471.94507449628645
"s(5,7)",674.5221740937249,693.9478397431737,762.4868476898197,697.011348019543,654.2022542127734,687.161427154925,667.3198881962176,668.0450511318487,674.8249563064858,647.8745943948031
"s(5,8)",625.4844088458026,649.6742156235911,611.2057583123565,671.4074045417071,613.5266032476435,720.7966488478766,618.2558699274527,628.3759240934215,670.9351041172821,626.0558967312576
"s(5,9)",490.1611366846349,435.9738967095638,499.7216500560771,769.5961494683753,384.76659720665475,527.8757767940695,430.34335809079766,507.84244252753456,398.2173483351088,390.5744596759149
"s(5,10)",443.2535797774379,557.0775243760161,727.0740239776828,419.2071155264158,383.96115168754255,216.07402201099907,419.12265203331106,501.2211169714992,402.19879177436275,469.75490250343313
"s(5,11)",424.8625078126802,464.70948008644194,316.94007891176705,499.6390265693884,720.5257609771481,454.85360928367857,381.2063091443956,388.34328217292557,371.1771768545614,302.3106423848449
"s(5,12)",344.44942727967515,452.20523483766146,351.26818866503646,442.0967865510158,402.9247489346877,712.4218384709233,330.1654708293758,338.4301955453427,337.10506734512376,381.38108838265896
"s(5,13)",280.54582902416496,221.61207691292555,401.31539720791534,706.552551357495,375.13642043519957,240.10102821866678,397.40462411051965,289.96615324111764,341.6430529098525,265.4118390778752
"s(5,14)",363.81124790777113,414.60207118436784,718.5894483153126,372.2379997251034,331.08420527255925,341.24715221756213,251.78587718908142,364.2023612395474,353.5767645797507,193.89149545265246
"s(6,5)",422.78950028525065,719.2089662554417,560.7260694314289,523.8453793124427,454.0722083614981,514.8122014899072,393.40122764487427,436.19963199353947,463.2860955573506,500.9388529061472
"s(6,6)",662.1289411950562,695.5514717371109,704.6048938008214,757.4869067462117,668.6370223644668,680.0667535064888,690.7983311109771,686.0371393753678,647.2693039086719,647.560599113906
"s(6,7)",708.0026673677347,713.4389017790243,719.9557383693073,763.6990134319949,713.7738121025552,719.2873021118806,703.791512152472,707.3857838162487,694.3863048413592,674.09556092501
"s(6,8)",705.7596191482997,713.5310293085988,765.8381836143259,719.4305308283567,713.9390807715729,713.2914835420098,704.596951751715,699.32193260946,691.5099231254621,678.9487306398878
"s(6,9)",554.2032954005155,655.5582015036528,658.4721068033566,565.9097876735738,663.8108688515053,570.4389087812956,756.9678892214608,639.7490613560072,568.4660735892995,539.8328190817538
"s(6,10)",680.890686854873,688.4882212623831,690.9017126852123,750.922360894498,689.4948528637528,670.6979768079625,674.6840859185103,677.8202828738749,658.2307378672829,646.1381152527448
"s(6,11)",545.9008774483804,574.5811896222704,520.9650853917005,718.8009076339025,601.0943666423105,469.87489098351693,606.2728535435024,575.225989756497,548.6377415992297,600.5116343368566
"s(6,12)",506.4604384918724,656.9170676553273,726.5857896379871,646.526979882084,655.1496336778189,658.5910486686937,649.6644088248672,640.4396888525789,578.8652280737266,559.1655646109073
"s(6,13)",491.5625144651677,535.7579127549942,607.7391482232174,538.9273509539339,515.2464972150326,551.0382988247583,729.398509428725,507.23143160451053,486.4631140787149,369.587520957696
"s(6,14)",464.18098628887725,490.7044813816224,556.2427834075821,603.0765610690635,714.5898189236862,487.57909177814963,499.6169524086296,499.71862351649906,412.64868674567475,434.40665719085666
"s(7,5)",466.8709889907332,729.5333780152545,643.1000764187488,554.6151083317167,555.8685610847591,588.3830931898981,544.3846839057626,500.17049425277753,452.3691322545126,571.7879360947338
"s(7,6)",701.1477608175462,716.8949530802703,766.0396323749089,709.6115220722231,710.2431555907489,711.7054065622954,714.210910153194,700.7002346729629,688.4726087354462,682.0436698678496
"s(7,7)",695.2206933915749,706.5064573168718,745.1220373927225,707.49002322084,697.0872757564113,705.3971193063892,694.9175229270927,690.8261149401892,681.1798305921802,667.7714497458417
"s(7,8)",711.6124959913053,712.8450836201586,713.8711343714897,763.4189726826861,713.8645800398773,713.6397770346796,704.3618722396993,704.3876330689216,696.9811066389839,676.733687952748
"s(7,9)",565.4454029049184,612.7806166654417,751.624023261587,634.0656568974821,577.4870396974335,612.4694865111207,519.7414629913045,564.9133649923656,603.0545632508256,574.401709618639
"s(7,10)",471.98070142295774,488.1551646530429,596.7772313023092,738.9994032012236,542.775756625089,548.5764572258888,515.1878119762036,519.5891446625027,427.94524264424456,522.8466083735581
"s(7,11)",528.320886702913,556.667619512821,546.7779942758318,486.84156652404846,566.7220863542087,538.4408034895002,725.1883754096605,464.8498197385146,541.5095524181953,517.0298404250289
"s(7,12)",523.2431535853001,531.0612464182244,549.7085904016005,520.3740902723348,522.2427007210277,559.4966696491535,726.4049459743846,511.3530363018196,443.5634991689956,488.45303867847105
"s(7,13)",480.0213977939564,552.2736087795694,554.9973307403718,725.5499412305452,464.0380880096998,451.12061149973385,549.3083112887001,510.57071803011974,499.9500876401919,500.4638383928494
"s(7,14)",504.17479811322573,461.85519099905656,365.5117173255545,496.70904088774216,721.1465411524173,535.680163323654,516.6137426077258,352.25137306389195,559.4315239775647,422.21543448101863
"s(8,5)",679.1240155139501,680.9034241128892,748.7394602671768,707.9871906338864,700.1513530046201,696.6157334320726,679.2358508263625,659.9008578205568,672.0761598427938,653.2524016678262
"s(8,6)",701.5565904378751,693.8653077955237,673.117800959499,708.0556485187648,708.9809034090882,738.2555211249412,685.0169832520934,697.5566029010918,663.8126348724641,669.3118671707815
"s(8,7)",716.3552725622924,722.7211270561642,728.3590969641532,769.2493767018588,728.4328709538432,723.4631545916205,719.4485145917474,716.0719154692524,698.8787349379268,699.4178457000916
"s(8,8)",710.9934259784179,713.0670253796804,765.8254155955013,721.0956568980536,711.5958125129489,713.5285930048207,704.7045406413265,709.4707550835703,697.1508192212818,678.4177146371835
"s(8,9)",708.1800462315471,712.5435709348835,765.3974472418663,713.4133691038091,713.1111383457161,713.1260853649294,700.6535601435259,708.8773763292851,695.4286741748438,678.394585696393
"s(8,10)",718.9900867643092,720.4914292601395,727.6820076969107,769.4273720663551,726.4115319187351,720.0454472269921,713.9347515254389,711.8860197008989,705.5763395585217,692.8547662229555
"s(8,11)",624.8508567577863,696.5599556850873,695.576262994588,689.1285957666594,683.8027495562101,725.29376339914,645.9471023252619,667.8970457267053,660.5177997298774,654.5160269966972
"s(8,12)",661.9699498510339,682.0354644485351,748.0333716944532,636.7951101009768,708.8799907113,652.2246447012462,639.4417862546181,595.3578321066116,621.838852802465,611.8773024662917
"s(8,13)",643.4495273633831,584.0699999423094,732.6705210225488,651.8676118808374,619.7756347367557,642.5502380323857,670.0811041555365,682.444589270596,649.9475226209659,667.0144280084953
"s(8,14)",610.0542907014783,731.3049220518742,665.1211361519049,663.7328109100744,620.6543276204275,627.7401677937836,673.8583633488665,616.3699404170626,584.6822144270595,603.1060373237289
"s(9,5)",445.8244218638293,509.7299805489332,533.7066609188216,525.6106237387656,764.8374206931187,565.010745401735,538.2391927014769,517.3467409988751,571.7593336071961,532.991268778633
"s(9,6)",672.5843362218288,697.9472369157229,705.0566285230357,718.3854303846573,710.5781514278771,762.912358780054,689.7410664276331,695.6879125263414,684.7757384890023,654.727255406351
"s(9,7)",708.1909719879349,711.9064374590719,714.9193524051414,763.4495312942277,719.9144876792727,716.1675119684091,700.6743045071921,703.8183942557696,694.7803618871594,674.7613114970072
"s(9,8)",726.3232822568848,731.5354622903395,735.6525672283699,752.8632514092296,768.7051407438165,719.8261020303146,731.7362518348781,714.1476605490685,716.5996197512897,700.1392873469387
"s(9,9)",754.7939353490578,758.6084630140027,762.3436005148144,766.4740291714376,769.9999999999814,755.3904934097209,752.1785947034313,747.9381305484084,736.1096838944331,724.5221789268786
"s(9,10)",699.2271154067424,757.6060210933388,709.7236403293017,704.2192428354334,698.0735087766922,714.1212943378046,681.2977779032806,674.3576071817081,672.653252092948,675.8669166509827
"s(9,11)",547.979188658529,758.7123619532551,629.0441998428917,664.2570953922484,629.7211699262725,548.104272685897,634.9845044611054,609.8072932719523,464.914398569509,594.7240598785403
"s(9,12)",496.10588812173444,478.9916017717966,537.6124103940065,545.5095379032861,760.855163118559,551.1741748576118,536.7403384607736,401.2532844991051,503.24439255214133,348.4495465720945
"s(9,13)",444.3152257383985,572.7694866955201,471.2360090773128,757.8493523284338,547.4254638791645,565.954209087163,415.0333044868139,429.3460917936089,486.8619327988398,387.95924096377365
"s(9,14)",422.1164846153814,500.01716602988824,344.07010785147156,580.5458723875485,539.3623098720668,511.7394893677738,756.7960553240218,535.3786068176498,419.3754145066877,493.8744654386942
"s(10,5)",588.9595511570493,479.7339810991589,618.5252703295439,617.1225081196,459.0811481639966,539.0147045889908,720.4656460911697,641.1902713822565,569.8744044346142,510.3628641436032
"s(10,6)",592.4791493265284,597.2332399246027,627.5420133398216,630.8765231574527,724.3166615384935,568.3187010496692,589.1209032157341,595.5730650613413,592.895726095419,527.9964618755394
"s(10,7)",701.8840579230277,711.2890699776024,714.0743639075187,746.4719585464554,713.8833288924883,712.4427892155862,699.3534873380804,705.0248939471167,691.6662113208954,671.9265896365126
